time (seconds),encoderLeft (meters),encoderRight (meters)
1183.801,187.01927185058594,183.54490661621094
1183.898,187.01927185058594,183.54490661621094
1184,187.01925659179688,183.54490661621094
1184.101,187.01925659179688,183.54490661621094
1184.202,187.01925659179688,183.54490661621094
1184.3,187.01925659179688,183.54490661621094
1184.4,187.01925659179688,183.54490661621094
1184.5,187.01925659179688,183.54490661621094
1184.601,187.01925659179688,183.54490661621094
1184.708,187.01925659179688,183.54490661621094
1184.799,187.01925659179688,183.54490661621094
1184.901,187.01925659179688,183.54489135742188
1184.998,187.01925659179688,183.54489135742188
1185.101,187.02159118652344,183.54254150390625
1185.2,187.02394104003906,183.54019165039062
1185.3,187.0262908935547,183.537841796875
1185.4,187.0286407470703,183.53549194335938
1185.499,187.03099060058594,183.53314208984375
1185.601,187.03334045410156,183.53079223632812
1185.701,187.0356903076172,183.5284423828125
1185.8,187.0380401611328,183.52609252929688
1185.904,187.04037475585938,183.52374267578125
1186.009,187.042724609375,183.52137756347656
1186.1,187.04507446289062,183.51902770996094
1186.201,187.04742431640625,183.5166778564453
1186.299,187.04977416992188,183.5143280029297
1186.4,187.0521240234375,183.51197814941406
1186.501,187.05447387695312,183.50962829589844
1186.6,187.05682373046875,183.5072784423828
1186.702,187.05917358398438,183.5049285888672
1186.801,187.06150817871094,183.50257873535156
1186.903,187.06385803222656,183.50022888183594
1187.001,187.0662078857422,183.49786376953125
1187.099,187.0685577392578,183.49551391601562
1187.203,187.07090759277344,183.4931640625
1187.299,187.07325744628906,183.49081420898438
1187.397,187.0756072998047,183.48846435546875
1187.505,187.0779571533203,183.48611450195312
1187.603,187.08029174804688,183.4837646484375
1187.697,187.0826416015625,183.48141479492188
1187.799,187.08499145507812,183.47906494140625
1187.899,187.08734130859375,183.47669982910156
1187.999,187.13687133789062,183.52609252929688
1188.099,187.18687438964844,183.57608032226562
1188.201,187.2368621826172,183.62608337402344
1188.275,187.286865234375,183.67608642578125
1188.4,187.3368682861328,183.72607421875
1188.501,187.38685607910156,183.7760772705078
1188.6,187.43685913085938,183.82608032226562
1188.702,187.4868621826172,183.87606811523438
1188.8,187.53684997558594,183.9260711669922
1188.902,187.58685302734375,183.97607421875
1189.001,187.63685607910156,184.02606201171875
1189.1,187.6868438720703,184.07606506347656
1189.2,187.73684692382812,184.12606811523438
1189.3,187.73960876464844,184.1242218017578
1189.394,187.74195861816406,184.1218719482422
1189.501,187.7443084716797,184.11952209472656
1189.602,187.74664306640625,184.11717224121094
1189.701,187.74899291992188,184.1148223876953
1189.801,187.7513427734375,184.1124725341797
1189.9,187.75369262695312,184.110107421875
1189.998,187.75604248046875,184.10775756835938
1190.102,187.75839233398438,184.10540771484375
1190.198,187.8079071044922,184.15478515625
1190.302,187.85791015625,184.2047882080078
1190.401,187.9079132080078,184.25479125976562
1190.501,187.95790100097656,184.30477905273438
1190.596,188.00790405273438,184.3547821044922
1190.71,188.0579071044922,184.40478515625
